"refseq_mrna","hgnc_symbol","prot_length"
"NM_001366936","PTAR1",403
"NM_024811","CPSF7",515
"NM_018094","GSPT2",629
"NM_032135","FSCB",826
"NM_001350484","CAP1",475
"NM_001350482","CAP1",475
"NM_001330502","CAP1",475
"NM_001350483","CAP1",475
"NM_001350485","CAP1",475
"NM_001114403","UPK3BL1",264
"NM_207410","GFRAL",395
"NM_004128","GTF2F2",250
"NM_001297735","SYNE4",292
"NM_198269","HIPK1",837
"NM_001320555","ZSCAN16",349
"NM_001320557","ZSCAN16",349
"NM_025231","ZSCAN16",349
"NM_001320556","ZSCAN16",349
"NM_001320558","ZSCAN16",349
"NM_001388278","DLGAP4",454
"NM_183006","DLGAP4",454
"NM_198152","UTS2B",120
"NM_148923","CYB5A",135
"NM_001324065","MIA3",786
"NM_001300867","MIA3",786
"NM_003574","VAPA",295
"NM_002399","MEIS2",382
"NM_001363548","SIGLEC8",407
"NM_001031801","LIMK2",687
"NM_001375443","FOXN2",432
"NM_001375442","FOXN2",432
"NM_001375452","FOXN2",432
"NM_001375451","FOXN2",432
"NM_001375449","FOXN2",432
"NM_001375450","FOXN2",432
"NM_001375448","FOXN2",432
"NM_001375447","FOXN2",432
"NM_001375446","FOXN2",432
"NM_001375445","FOXN2",432
"NM_002158","FOXN2",432
"NM_001375444","FOXN2",432
"NM_001365487","ACOXL",280
"NM_198183","UBE2L6",88
"NM_007322","RANBP3",568
"NM_199160","LHX6",378
"NM_001364167","GRIA1",907
"NM_001258020","GRIA1",907
"NM_001114183","GRIA1",907
"NM_003759","SLC4A4",1036
"NM_003877","SOCS2",199
"NM_004878","PTGES",153
"NM_001350627","BRAT1",822
"NM_152743","BRAT1",822
"NM_001350626","BRAT1",822
"NM_152557","ZNF746",645
"NM_001042520","C2orf88",96
"NM_032321","C2orf88",96
"NM_001042519","C2orf88",96
"NM_001289113","SHBG",345
"NM_001289116","SHBG",345
"NM_006860","IFT27",186
"NM_198504","PAQR9",378
"NM_001104631","PDE4D",810
"NM_004487","GOLGB1",3260
"NM_001389631","GOLGB1",3260
"NM_001242640","BRCC3",293
"NM_015056","RRP1B",759
"NM_198586","NHLRC1",396
"NM_198570","VWC2",326
"NM_030660","ATXN3",307
"NM_133499","SYN1",670
"NM_033489","CDK11B",749
"NM_001297569","ZNF124",290
"NM_003431","ZNF124",290
"NM_001358529","MOCS1",637
"NM_001358530","MOCS1",637
"NM_017650","PPP1R9A",1099
"NM_001166163","PPP1R9A",1099
"NM_021161","KCNK10",539
"NM_004918","TCL1B",129
"NM_000503","EYA1",593
"NM_001258393","CLPB",649
"NM_001008701","ADGRL1",1475
"NM_173462","PAPLN",1252
"NM_001379","DNMT1",1617
"NM_001318730","DNMT1",1617
"NM_001286235","SLC2A14",498
"NM_001004452","OR1J4",314
"NM_001393491","IL19",178
"NM_001369605","IL19",178
"NM_001244974","PPP1CC",338
"NM_001293189","OBP2A",229
"NM_001309427","FAM205C",209
"NM_001375894","FAM205C",209
"NM_022977","ACSL4",712
"NM_001166686","PFKM",852
"NM_001354737","PFKM",852
"NM_001354739","PFKM",852
"NM_001354738","PFKM",852
"NM_001080460","LRRIQ4",561
"NM_001005242","PKP2",838
"NM_001321166","ARHGAP44",813
"NM_152448","TERB2",221
"NM_001364018","CCNG1",296
"NM_001364021","CCNG1",296
"NM_001364015","CCNG1",296
"NM_004060","CCNG1",296
"NM_031267","CDK13",1453
"NM_001003715","RECQL5",436
"NM_001287522","CDC25B",540
"NM_021872","CDC25B",540
"NM_001287524","CDC25B",540
"NM_001391984","TRERF1",1130
"NM_206828","NLRP7",981
"NM_001271845","TBC1D16",406
"NM_138617","RHCE",268
"NM_001042664","PLEKHG5",1007
"NM_030789","HM13",378
"NM_001166550","IDS",551
"NM_000202","IDS",551
"NM_005318","H1-0",195
"NM_001889","CRYZ",330
"NM_001243146","NVL",668
"NM_001005911","IP6K2",98
"NM_001005910","IP6K2",98
"NM_052890","PGLYRP2",577
"NM_203286","NECTIN1",353
"NM_001366975","PNCK",344
"NM_001366976","PNCK",344
"NM_001366977","PNCK",344
"NM_152332","TC2N",491
"NM_198234","RNASE1",157
"NM_213655","WNK1",2635
"NM_001172111","SENP8",213
"NM_145204","SENP8",213
"NM_031157","HNRNPA1",373
"NM_006487","FBLN1",567
"NM_001352699","PTK2",1066
"NM_001352746","PTK2",1066
"NM_001352742","PTK2",1066
"NM_001352745","PTK2",1066
"NM_001352744","PTK2",1066
"NM_001352741","PTK2",1066
"NM_001352738","PTK2",1066
"NM_001316342","PTK2",1066
"NM_001352733","PTK2",1066
"NM_001352734","PTK2",1066
"NM_001352730","PTK2",1066
"NM_001352729","PTK2",1066
"NM_001352711","PTK2",1066
"NM_001352720","PTK2",1066
"NM_001352713","PTK2",1066
"NM_001352715","PTK2",1066
"NM_001352727","PTK2",1066
"NM_001352721","PTK2",1066
"NM_001352706","PTK2",1066
"NM_001352700","PTK2",1066
"NM_001352736","PTK2",1066
"NM_001352740","PTK2",1066
"NM_001352743","PTK2",1066
"NM_001352696","PTK2",1066
"NM_001352731","PTK2",1066
"NM_001352726","PTK2",1066
"NM_001352716","PTK2",1066
"NM_001352718","PTK2",1066
"NM_001199649","PTK2",1066
"NM_001352714","PTK2",1066
"NM_001352723","PTK2",1066
"NM_001352724","PTK2",1066
"NM_001352709","PTK2",1066
"NM_001352704","PTK2",1066
"NM_001352702","PTK2",1066
"NM_001352701","PTK2",1066
"NM_001352735","PTK2",1066
"NM_001352719","PTK2",1066
"NM_001352722","PTK2",1066
"NM_001352708","PTK2",1066
"NM_001352725","PTK2",1066
"NM_001352739","PTK2",1066
"NM_001352707","PTK2",1066
"NM_001352703","PTK2",1066
"NM_001352705","PTK2",1066
"NM_001352698","PTK2",1066
"NM_001352710","PTK2",1066
"NM_001387603","PTK2",1066
"NM_001387606","PTK2",1066
"NM_001387615","PTK2",1066
"NM_001387624","PTK2",1066
"NM_001387613","PTK2",1066
"NM_001387625","PTK2",1066
"NM_001387634","PTK2",1066
"NM_001387638","PTK2",1066
"NM_001387639","PTK2",1066
"NM_001387640","PTK2",1066
"NM_001387609","PTK2",1066
"NM_001387631","PTK2",1066
"NM_001387633","PTK2",1066
"NM_001387620","PTK2",1066
"NM_001387644","PTK2",1066
"NM_001387656","PTK2",1066
"NM_001387659","PTK2",1066
"NM_001243876","SPHK2",449
"NM_144695","BROX",412
"NM_001375661","BROX",412
"NM_001375758","BROX",412
"NM_198508","KLRG2",410
"NM_022132","MCCC2",564
"NM_017820","EXD3",877
"NM_004602","STAU1",497
"NM_001322931","STAU1",497
"NM_001171093","FAM131A",282
"NM_001305","CLDN4",210
"NM_001010880","ZNF780A",642
"NM_001010887","ACER2",276
"NM_001304459","ANKRD33",273
"NM_001130015","ANKRD33",273
"NM_001304460","ANKRD33",273
"NM_001376069","PDE8B",839
"NM_001376070","PDE8B",839
"NM_001376071","PDE8B",839
"NM_001029854","PDE8B",839
"NM_001290629","ADIPOR1",376
"NM_001290557","ADIPOR1",376
"NM_015999","ADIPOR1",376
"NM_001290553","ADIPOR1",376
"NM_001039132","ICAM4",273
"NM_001193609","TUBD1",399
"NM_001193612","TUBD1",399
"NM_170724","PKHD1",3397
"NM_173161","IL1F10",153
"NM_001353198","POMT1",672
"NM_001353194","POMT1",672
"NM_001374689","POMT1",672
"NM_001353197","POMT1",672
"NM_001077366","POMT1",672
"NM_012274","H2AP",118
"NM_021065","H2AC7",131
"NM_001130017","ART3",368
"NM_001377177","ART3",368
"NM_001377175","ART3",368
"NM_001377176","ART3",368
"NM_001377178","ART3",368
"NM_001377180","ART3",368
"NM_198202","POP5",114
"NM_024669","ANKRD55",615
"NM_001753","CAV1",179
"NM_022662","ANAPC1",1945
"NM_001300958","BSDC1",475
"NM_002974","SERPINB4",391
"NM_152751","BEND7",469
"NM_001280539","RNF19A",839
"NM_183419","RNF19A",839
"NM_001353838","RNF19A",839
"NM_001437","ESR2",531
"NM_032638","GATA2",481
"NM_001258017","IL4I1",590
"NM_172374","IL4I1",590
"NM_001253693","MCOLN3",498
"NM_001369904","MPST",298
"NM_018843","SLC25A40",339
"NM_001190844","TMEM221",292
"NM_001478","B4GALNT1",534
"NM_015962","FCF1",199
"NM_025027","ZNF606",793
"NM_031862","NBR1",967
"NM_024759","NIPAL2",369
"NM_139246","TSTD2",517
"NM_001005336","DNM1",852
"NM_001040183","CLDND1",254
"NM_001040181","CLDND1",254
"NM_001040199","CLDND1",254
"NM_002409","MGAT3",534
"NM_001098270","MGAT3",534
"NM_001297610","ZNF823",611
"NM_001080493","ZNF823",611
"NM_001079870","HAP1",603
"NM_001098797","TOX2",507
"NM_198567","SIMC1",458
"NM_198946","LCN6",164
"NM_001385251","FAM72A",110
"NM_001142545","ADCK1",456
"NM_001127184","CFLAR",222
"NM_021914","CFL2",167
"NM_173850","SERPINA12",415
"NM_001394893","LIMA1",760
"NM_001394891","LIMA1",760
"NM_001394890","LIMA1",760
"NM_016357","LIMA1",760
"NM_001394887","LIMA1",760
"NM_001394888","LIMA1",760
"NM_001378349","METTL23",191
"NM_001378351","METTL23",191
"NM_001080510","METTL23",191
"NM_001378352","METTL23",191
"NM_001206984","METTL23",191
"NM_001302705","METTL23",191
"NM_032287","RTL6",240
"NM_005475","SH2B3",576
"NM_003836","DLK1",384
"NM_001242699","ENO4",626
"NM_001193534","FBXL5",692
"NM_012161","FBXL5",692
"NM_001099334","C2orf80",194
"NM_001291367","PERM1",677
"NM_001029861","NANOS2",139
"NM_001099687","TP53TG3B",125
"NM_201430","RTN3",242
"NM_199367","SPG7",490
"NM_182710","KAT5",547
"NM_130446","KLHL6",622
"NM_001007246","BRWD1",121
"NM_001349069","RHBDD1",316
"NM_032276","RHBDD1",316
"NM_001349071","RHBDD1",316
"NM_001243726","TEX264",314
"NM_015926","TEX264",314
"NM_006647","NOXA1",484
"NM_020441","CORO1B",490
"NM_001365784","ATP2B4",1171
"NM_001099285","PTMA",112
"NM_002505","NFYA",348
"NM_005898","CAPRIN1",710
"NM_203285","NECTIN1",459
"NM_001282199","UBXN8",230
"NM_207393","IGFL3",126
"NM_198391","FLRT3",650
"NM_014965","TRAK1",687
"NM_002128","HMGB1",216
"NM_001353641","NADK",447
"NM_023018","NADK",447
"NM_199347","NEK10",713
"NM_177524","MEST",327
"NM_080626","BRI3BP",252
"NM_016276","SGK2",368
"NM_205850","SLC24A5",501
"NM_032184","SYDE2",1195
"NM_001354370","FGFR1",829
"NM_001354367","FGFR1",829
"NM_001242895","ZKSCAN3",391
"NM_014788","TRIM14",443
"NM_001282970","C14orf93",499
"NM_001134477","PARN",579
"NM_001674","ATF3",182
"NM_198153","TREML4",201
"NM_001079817","INSR",1371
"NM_001354148","MIA2",772
"NM_001354154","MIA2",772
"NM_001354155","MIA2",772
"NM_001130852","CBLC",429
"NM_207338","LCTL",568
"NM_001606","ABCA2",2437
"NM_000052","ATP7A",1501
"NM_003861","DCAF5",943
"NM_002600","PDE4B",737
"NM_001297441","PDE4B",737
"NM_001795","CDH5",785
"NM_001386176","NAPEPLD",394
"NM_001386179","NAPEPLD",394
"NM_199298","THYN1",226
"NM_014174","THYN1",226
"NM_005358","LMO7",1350
"NM_016162","ING4",249
"NM_194302","CFAP65",1926
"NM_001170931","FOXO4",451
"NM_017994","TMEM248",315
"NM_001202516","CFLAR",446
"NM_001756","SERPINA6",406
"NM_006832","FERMT2",681
"NM_001371369","MAP3K7CL",243
"NM_001286634","MAP3K7CL",243
"NM_001330454","CLUAP1",433
"NM_001007242","GP2",388
"NM_001271069","MAX",84
"NM_197957","MAX",84
"NM_001330063","ANKFY1",1170
"NM_001141974","ATP13A2",1159
"NM_001270425","MAP4K3",874
"NM_079422","MYL1",151
"NM_207321","ACSM6",481
"NM_001080462","TMEM202",274
"NM_139353","TAF1C",776
"NM_001281426","DCTN3",177
"NM_024348","DCTN3",177
"NM_176869","PPA2",335
"NM_199203","PEDS1-UBE2V1",371
"NM_004297","GNA14",356
"NM_173856","VN1R2",396
"NM_201274","MPRIP",1026
"NM_001346642","HEPACAM2",451
"NM_198151","HEPACAM2",451
"NM_001184734","ASTN2",396
"NM_198188","ASTN2",396
"NM_198187","ASTN2",396
"NM_001039958","MESP2",398
"NM_020182","PMEPA1",288
"NM_199285","PRR19",357
"NM_203354","MIA2",793
"NM_001354146","MIA2",793
"NM_001277397","RFPL4AL1",288
"NM_001352216","ANKS1B",255
"NM_001352213","ANKS1B",255
"NM_001352214","ANKS1B",255
"NM_001204081","ANKS1B",255
"NM_001352223","ANKS1B",255
"NM_001376566","MPC1",67
"NM_001376568","MPC1",67
"NM_145241","WDR31",367
"NM_139072","DNER",738
"NM_001185101","CD22",671
"NM_004973","JARID2",1247
"NM_001329714","FAM163A",168
"NM_001329713","FAM163A",168
"NM_001329715","FAM163A",168
"NM_001329716","FAM163A",168
"NM_001393418","FAM163A",168
"NM_001393416","FAM163A",168
"NM_001393423","FAM163A",168
"NM_001393422","FAM163A",168
"NM_001329719","FAM163A",168
"NM_001393419","FAM163A",168
"NM_001393421","FAM163A",168
"NM_001393415","FAM163A",168
"NM_001329717","FAM163A",168
"NM_001393417","FAM163A",168
"NM_001329712","FAM163A",168
"NM_001329718","FAM163A",168
"NM_173509","FAM163A",168
"NM_001393420","FAM163A",168
"NM_001256749","SSUH2",354
"NM_015931","SSUH2",354
"NM_175078","KRT77",579
"NM_001291345","CDK11B",783
"NM_033487","CDK11B",783
"NM_033490","CDK11B",783
"NM_033486","CDK11B",783
"NM_025169","ZKSCAN7",277
"NM_001202481","CRHR2",398
"NM_012101","TRIM29",589
"NM_001161565","TNIK",1277
"NM_001320875","DPP8",899
"NM_197960","DPP8",899
"NM_015975","TAF9B",252
"NM_001164446","C6orf132",1189
"NM_001004313","TMEM220",161
"NM_024548","CEP97",866
"NM_001038493","DLX1",130
"NM_001024401","SBK1",425
"NM_001130173","MYB",762
"NM_005597","NFIC",429
"NM_001083585","RABEP1",830
"NM_012307","EPB41L3",1088
"NM_001384685","EPB41L3",1088
"NM_031409","CCR6",375
"NM_001130084","ABLIM2",612
"NM_001394587","LAMTOR4",100
"NM_001008395","LAMTOR4",100
"NM_080680","COL11A2",1737
"NM_018933","PCDHB13",799
"NM_001009996","DALRD3",544
"NM_001394072","SYT8",388
"NM_019897","OR2S2",320
"NM_021916","ZNF70",447
"NM_001177562","PPP2R1B",557
"NM_001127241","BBC3",132
"NM_001198993","NADK",447
"NM_020344","SLC24A2",662
"NM_001375850","SLC24A2",662
"NM_001721","BMX",676
"NM_004882","CIR1",451
"NM_001382767","CTSL",273
"NM_001382768","CTSL",273
"NM_001382766","CTSL",273
"NM_001080850","CCDC30",784
"NM_006658","PPP1R17",156
"NM_033219","TRIM14",443
"NM_001329115","BABAM2",384
"NM_199194","BABAM2",384
"NM_001282871","RHD",494
"NM_001160133","KCNQ5",952
"NM_001160132","KCNQ5",952
"NM_006329","FBLN5",449
"NM_001384160","FBLN5",449
"NM_001384162","FBLN5",449
"NM_001384161","FBLN5",449
"NM_198532","PEAK3",474
"NM_152486","SAMD11",682
"NM_176794","MRPL43",236
"NM_201431","RASSF6",370
"NM_001207015","PTPRR",546
"NM_002613","PDPK1",557
"NM_001289128","IFNAR2",240
"NM_001289126","IFNAR2",240
"NM_001256416","NBPF3",622
"NM_001394605","CREM",246
"NM_182769","CREM",246
"NM_182770","CREM",246
"NM_001146077","CLDN14",240
"NM_001293193","OBP2A",148
"NM_139156","AMPD2",799
"NM_001289125","IFNAR2",516
"NM_207585","IFNAR2",516
"NM_001385055","IFNAR2",516
"NM_182971","COX8C",73
"NM_001198588","JMJD7-PLA2G4B",894
"NM_001321209","DPY30",100
"NM_001077395","DPH5",285
"NM_133437","TTN",27119
"NM_207325","DPY19L3",717
"NM_001330097","NRXN1",443
"NM_138735","NRXN1",443
"NM_001130069","SUMF2",340
"NM_003347","UBE2L3",155
"NM_014900","COBLL1",1167
"NM_033348","KCNK7",253
"NM_033455","KCNK7",253
"NM_001166293","SSX2IP",615
"NM_014021","SSX2IP",615
"NM_001166417","SSX2IP",615
"NM_001370194","IGBP1",340
"NM_175060","CLEC14A",491
"NM_213560","PKN1",949
"NM_199296","ISM2",572
"NM_006749","SLC20A2",653
"NM_001317830","JPH1",662
"NM_020647","JPH1",662
"NM_001363050","JPH1",662
"NM_001363051","JPH1",662
"NM_199262","SP6",377
"NM_001365135","SMPD1",632
"NM_001318087","SMPD1",632
"NM_000543","SMPD1",632
"NM_001169122","AFF2",1277
"NM_004842","AKAP7",82
"NM_001387864","AKAP7",82
"NM_175913","JPH2",130
"NM_001123383","BCOR",1722
"NM_002060","GJA4",334
"NM_001330782","PBX3",352
"NM_013348","KCNJ14",437
"NM_005349","RBPJ",501
"NM_001379408","RBPJ",501
"NM_001393936","POU2F2",587
"NM_001009923","TMEM230",184
"NM_177398","LMX1A",383
"NM_001123378","ADSL",426
"NM_016817","OAS2",720
"NM_024969","CSRNP3",586
"NM_001374401","RBPJ",487
"NM_001379407","RBPJ",487
"NM_001379406","RBPJ",487
"NM_203284","RBPJ",487
"NM_001374402","RBPJ",487
"NM_001374403","RBPJ",487
"NM_203436","ASCL4",173
"NM_001376066","PDE8B",866
"NM_001029853","PDE8B",866
"NM_001353642","NADK",415
"NM_001198995","NADK",415
"NM_001288654","DCAKD",232
"NM_024819","DCAKD",232
"NM_198505","ATP13A5",1219
"NM_006811","SERINC3",474
"NM_015868","KIR2DL3",342
"NM_001002036","ASTL",432
"NM_001172304","MASTL",841
"NM_001286159","CCDC83",414
"NM_001346593","INSIG1",165
"NM_198337","INSIG1",165
"NM_022161","BIRC7",281
"NM_152551","SNRNP48",340
"NM_198283","EYS",595
"NM_199483","RAB5IF",144
"NM_032819","ZNF341",848
"NM_021105","PLSCR1",319
"NM_001018036","TSHR",254
"NM_001369085","ASCC1",401
"NM_001369100","ASCC1",401
"NM_001369087","ASCC1",401
"NM_001198799","ASCC1",401
"NM_001369088","ASCC1",401
"NM_001369089","ASCC1",401
"NM_033656","BRWD1",2270
"NM_001166270","HAUS4",319
"NM_000694","ALDH3B1",469
"NM_001039770","TMPPE",454
"NM_001288745","CMTM5",75
"NM_015720","PODXL2",606
"NM_007135","ZNF79",499
"NM_130466","UBE3B",1069
"NM_201612","IKBIP",351
"NM_206852","RTN1",209
"NM_001321857","JAK1",1155
"NM_002227","JAK1",1155
"NM_213608","C2orf66",101
"NM_148978","PANK1",374
"NM_001004320","AGMO",446
"NM_001137601","ZBTB42",423
"NM_001330305","NAB2",462
"NM_001289968","PPP3CB",497
"NM_001289969","PPP3CB",497
"NM_024034","GDAP1L1",368
"NM_022567","NYX",477
"NM_001142314","DUSP19",167
"NM_134427","RGS3",169
"NM_001276262","RGS3",169
"NM_001004734","OR14I1",312
"NM_001350576","TMTC4",761
"NM_032813","TMTC4",761
"NM_001350571","TMTC4",761
"NM_202002","FOXM1",802
"NM_016585","THEG",380
"NM_152897","SNX21",200
"NM_173826","TCAIM",497
"NM_001282914","TCAIM",497
"NM_006956","ZNF12",660
"NM_006943","SOX12",316
"NM_001221","CAMK2D",500
"NM_001321566","CAMK2D",500
"NM_001321580","CAMK2D",500
"NM_001384647","SNRPD2",119
"NM_145109","MAP2K3",348
"NM_001143936","C15orf61",158
"NM_001378923","NPR2",1048
"NM_003995","NPR2",1048
"NM_032279","ATP13A4",1197
"NM_033285","TP53INP1",241
"NM_001353669","WDR20",570
"NM_001353656","WDR20",570
"NM_001353657","WDR20",570
"NM_001242418","WDR20",570
"NM_001353660","WDR20",570
"NM_001353661","WDR20",570
"NM_001353677","WDR20",570
"NM_144574","WDR20",570
"NM_001353676","WDR20",570
"NM_001353672","WDR20",570
"NM_001353674","WDR20",570
"NM_001353678","WDR20",570
"NM_001032999","CBFA2T2",596
"NM_017525","CDC42BPG",1552
"NM_138360","CARMIL3",1373
"NM_000298","PKLR",575
"NM_212558","TMEM215",236
"NM_014734","SUSD6",304
"NM_001035511","SDHC",151
"NM_001135655","LY6H",162
"NM_001282584","MXRA8",342
"NM_015570","AUTS2",1260
"NM_001318503","DUSP9",385
"NM_001256134","PROZ",423
"NM_033025","SYDE1",736
"NM_001164098","VCAN",1643
"NM_005235","ERBB4",1309
"NM_001349379","ZDHHC3",334
"NM_001330761","ZDHHC3",334
"NM_199135","FOXD4L3",418
"NM_001197097","PRSS3",260
"NM_001346425","TCF7",385
"NM_003202","TCF7",385
"NM_197975","BTNL3",467
"NM_145651","SCGB1C1",96
"NM_001256387","LRRC39",336
"NM_001302504","NLRC4",360
"NM_006927","ST3GAL2",351
"NM_201282","EGFR",629
"NM_130470","MADD",1589
"NM_001376620","MADD",1589
"NM_001376584","MADD",1589
"NM_001376612","MADD",1589
"NM_001376611","MADD",1589
"NM_001376663","MADD",1589
"NM_176810","NLRP13",1044
"NM_021823","PPCDC",205
"NM_001384705","EPB41L3",919
"NM_001384700","EPB41L3",919
"NM_001384701","EPB41L3",919
"NM_001384698","EPB41L3",919
"NM_001384692","EPB41L3",919
"NM_001384687","EPB41L3",919
"NM_001384686","EPB41L3",919
"NM_001384695","EPB41L3",919
"NM_001384691","EPB41L3",919
"NM_001384689","EPB41L3",919
"NM_001330557","EPB41L3",919
"NM_001384688","EPB41L3",919
"NM_001384690","EPB41L3",919
"NM_001384684","EPB41L3",919
"NM_001024844","CD82",243
"NM_001178092","BCAT1",326
"NM_004403","GSDME",497
"NM_001130014","PSG5",336
"NM_002781","PSG5",336
"NM_198707","HSD11B1L",200
"NM_014061","MAGEH1",220
"NM_182917","EIF4G1",1601
"NM_021183","RAP2C",184
"NM_005359","SMAD4",553
"NM_133378","TTN",33424
"NM_001256850","TTN",33424
"NM_203407","EZHIP",504
"NM_001367232","HEPH",1159
"NM_001367233","HEPH",1159
"NM_001367240","HEPH",1159
"NM_001367236","HEPH",1159
"NM_001367234","HEPH",1159
"NM_001286794","SPATA13",597
"NM_001387468","PABIR2",268
"NM_001331088","PABIR2",268
"NM_198562","C3orf62",268
"NM_052870","SNX18",629
"NM_016551","TM7SF3",571
"NM_001098169","BSX",234
"NM_207417","CFAP77",321
"NM_015456","NELFB",629
"NM_001291419","LYPD4",212
"NM_194312","ESPNL",1006
"NM_001166005","EPB41",865
"NM_001376013","EPB41",865
"NM_000336","SCNN1B",641
"NM_001145375","ALKBH2",262
"NM_001001655","ALKBH2",262
"NM_001105562","UBE4B",1303
"NM_181892","UBE2D3",149
"NM_002725","PRELP",383
"NM_201348","PRELP",383
"NM_139069","MAPK9",383
"NM_001282599","CTNNA2",585
"NM_001356339","B3GALT5",311
"NM_001143764","SYCE1",352
"NM_001393988","PRDM2",1482
"NM_002122","HLA-DQA1",256
"NM_001258457","TBC1D7",248
"NM_001912","CTSL",334
"NM_001257971","CTSL",334
"NM_145918","CTSL",334
"NM_001257972","CTSL",334
"NM_016615","SLC6A13",603
"NM_001318333","TTC26",524
"NM_001144923","TTC26",524
"NM_001287513","TTC26",524
"NM_173195","KCNIP2",221
"NM_001164097","VCAN",2410
"NM_024557","RIC3",369
"NM_001346690","RIC3",369
"NM_001346692","RIC3",369
"NM_138729","ST7L",556
"NM_198212","CAV2",113
"NM_173821","RTP5",573
"NM_001033575","DUSP28",177
"NM_001197294","DPYSL3",685
"NM_001256461","SLC12A2",1197
"NM_001279357","LYPLA1",215
"NM_002360","MAFK",157
"NM_001286106","ATG5",276
"NM_033188","KRTAP4-5",182
"NM_001191005","SRSF10",262
"NM_001044390","MUC1",204
"NM_001204296","MUC1",204
"NM_000083","CLCN1",989
"NM_002952","RPS2",294
"NM_001647","APOD",190
"NM_024708","ASB7",275
"NM_001134999","FERMT2",688
"NM_001024596","ZNF772",490
"NM_001351181","NT5C2",562
"NM_001351183","NT5C2",562
"NM_001351194","NT5C2",562
"NM_001351180","NT5C2",562
"NM_001351176","NT5C2",562
"NM_001351188","NT5C2",562
"NM_001134373","NT5C2",562
"NM_001351184","NT5C2",562
"NM_001351185","NT5C2",562
"NM_001351177","NT5C2",562
"NM_001351195","NT5C2",562
"NM_001351182","NT5C2",562
"NM_001351196","NT5C2",562
"NM_001351186","NT5C2",562
"NM_001351190","NT5C2",562
"NM_001351189","NT5C2",562
"NM_001351179","NT5C2",562
"NM_198846","SIGLEC6",354
"NM_194318","B3GLCT",499
"NM_001307975","TMPO",415
"NM_001384933","LRRD1",117
"NM_001384932","LRRD1",117
"NM_001384934","LRRD1",117
"NM_153358","ZNF791",577
"NM_001244896","PTBP3",458
"NM_001375920","PTBP3",458
"NM_001242843","ZNF195",562
"NM_001256825","ZNF195",562
"NM_153604","MYOCD",939
"NM_020796","SEMA6A",1031
"NM_001351675","FAM98C",268
"NM_001288765","DMPK",631
"NM_005225","E2F1",438
"NM_024804","ZNF669",465
"NM_001375272","TLK2",719
"NM_001005490","OR6C74",313
"NM_024746","HHIPL2",725
"NM_003791","MBTPS1",1053
"NM_001278245","ZFAND5",214
"NM_001278243","ZFAND5",214
"NM_001004303","FYB2",729
"NM_133480","TADA3",370
"NM_177438","DICER1",1923
"NM_030580","ZNF34",561
"NM_017816","LYAR",380
"NM_152739","HOXA9",273
"NM_003195","TCEA2",300
"NM_003451","ZNF177",322
"NM_001384658","ZNF177",322
"NM_001144060","NHSL1",1607
"NM_198124","CSMD3",3668
"NM_020764","CASKIN1",1432
"NM_001136213","POTEH",546
"NM_004014","DMD",971
"NM_015905","TRIM24",1051
"NM_173054","RELN",3459
"NM_174896","C1orf162",156
"NM_001300835","C1orf162",156
"NM_001031685","TP53BP2",1135
"NM_001253729","RXFP1",710
"NM_001244676","THNSL2",406
"NM_177938","P4HTM",564
"NM_207291","USF2",280
"NM_001291839","IKZF1",433
"NM_001220767","IKZF1",433
"NM_001220770","IKZF1",433
"NM_001291841","IKZF1",433
"NM_001291842","IKZF1",433
"NM_199168","CXCL12",90
"NM_001271611","STX10",201
"NM_198947","FAM111B",735
"NM_001382663","MBNL2",362
"NM_001382680","MBNL2",362
"NM_001382691","MBNL2",362
"NM_001382686","MBNL2",362
"NM_207304","MBNL2",362
"NM_001382681","MBNL2",362
"NM_001382679","MBNL2",362
"NM_001382693","MBNL2",362
"NM_001382697","MBNL2",362
"NM_001382661","MBNL2",362
"NM_001382678","MBNL2",362
"NM_001001479","SLC35E4",351
"NM_001378531","ATP6V0A1",838
"NM_001378534","ATP6V0A1",838
"NM_001378522","ATP6V0A1",838
"NM_001378539","ATP6V0A1",838
"NM_001378530","ATP6V0A1",838
"NM_001378533","ATP6V0A1",838
"NM_001378535","ATP6V0A1",838
"NM_001130021","ATP6V0A1",838
"NM_001378542","ATP6V0A1",838
"NM_001378548","ATP6V0A1",838
"NM_001378546","ATP6V0A1",838
"NM_001378545","ATP6V0A1",838
"NM_001378549","ATP6V0A1",838
"NM_022904","RASAL3",1012
"NM_020947","MEAK7",457
"NM_000401","EXT2",719
"NM_001389628","EXT2",719
"NM_013365","GGA1",640
"NM_001172687","GGA1",640
"NM_001076683","UBTF",728
"NM_053045","TMEM203",137
"NM_201532","DGKZ",946
"NM_005319","H1-2",214
"NM_001007531","NKAPL",403
"NM_207174","ABCG1",678
"NM_014276","RBPJL",518
"NM_021229","NTN4",629
"NM_001184777","SEZ6L",949
"NM_001354470","LRRC69",192
"NM_001291927","NOX4",555
"NM_133640","MED22",201
"NM_001002026","CLDN18",262
"NM_001261835","TSPOAP1",1858
"NM_004758","TSPOAP1",1858
"NM_003393","WNT8B",352
"NM_147161","ACOT11",595
"NM_001368127","CDYL",413
"NM_001143971","CDYL",413
"NM_031218","ZNF93",621
"NM_001367910","ZNF678",526
"NM_001367909","ZNF678",526
"NM_001130912","SUGT1",366
"NM_001387385","DNAJA4",398
"NM_001387384","DNAJA4",398
"NM_001387388","DNAJA4",398
"NM_001018075","NR3C1",778
